code,num
C1072,695.0195737105944
C1128,1125.6089049739442
C1456,617.9540824802565
C1840,502.6645227160989
C1332,1048.737955287487
C1563,1560.1439069728003
C1794,959.3436341542474
C1640,448.58773754375693
C1377,355.51357240899836
C2072,256.58902620428944
C1472,413.09928265643873
C1006,361.92167634602947
C1083,441.4580122657834
C1311,309.38142287055393
C2676,331.38331971458723
C2318,251.28725129453386
C1603,504.12317140653965
C2523,352.92104121201976
C2177,79.19938646206697
C2411,730.2030693118935
C2033,207.9104623778287
C1604,418.84562803236497
C2535,509.1314384272915
C1040,474.03145981962257
C2417,463.41421427275463
C1812,88.97349339455707
C2253,54.56258909513829
C1294,571.4798117366599
C1772,593.0546745896694
C2646,534.9018653140398
C1152,985.9897600410834
C2423,181.8589542836234
C1844,446.0286546988808
C1318,310.6752530559795
C1729,63.89089705283337
C1602,321.4635647361618
C1239,416.26848355409857
C1721,597.7253790865793
C1902,811.443271097029
C1855,332.9644924307028
C2600,455.64381248291875
C1071,433.33983941211955
C2295,369.6360135007686
C1621,546.5359078191238
C1852,-974.4410010776074
C2555,1076.540360253452
C1297,456.7192515513384
C2323,536.0541922065538
C2215,334.10633390895606
C2112,378.7663716820023
C1830,779.0620661243339
C2602,238.03222268439765
C2608,1054.6342119133037
C1215,598.8110150804536
C2369,503.8973721255154
C1158,263.71589616761395
C1887,563.9829033112466
C1189,329.04063119389167
C1637,463.26234566770745
C1225,255.29474309922648
C2374,349.9897716109465
C2397,520.7536749292308
C1105,863.6864328377224
C1782,389.030417434221
C1629,200.97258732647396
C1708,315.81323021180003
C2144,533.6258915855043
C1617,951.2957081057343
C1149,563.1218648294332
C1323,497.03068058003475
C1064,662.2567019749151
C1019,277.50118380466876
C2269,546.9344850385728
C1416,788.6835066256575
C1250,939.7061697921451
C1741,462.8822858959579
C1016,624.0398352139962
C2675,965.6418296596735
C2436,678.9525859232101
C2039,780.808690355445
C1253,667.8059674181534
C2028,1221.9239294441745
C1166,300.9828490490164
C1135,266.1004285918042
C1216,274.4226809037272
C1593,258.32424628221753
C1826,249.70318801369586
C1827,373.84075442416065
C1564,301.76307368321187
C1495,883.9327572889583
C2653,856.2354522854247
C1392,583.923020826203
C2128,285.48538443082043
C1282,658.147537782952
C1521,1144.83060299018
C2076,1044.6718212577368
C1060,621.0528709175887
C2473,1074.5726174668664
C2557,787.7229437141176
C1835,885.3940933384172
C2224,759.5036930941864
C2222,353.6329769932878
C2430,759.5852414456779
C2497,826.1286334163375
C1494,1019.7025453248914
C1457,682.8619658394902
C1525,1130.6371778489026
C1712,607.4476167048738
C2267,1031.5355418609306
C1623,269.1332079626833
C2131,527.6077133814532
C2691,1174.6497687083804
C1147,856.3892468466074
C1692,1048.472228020013
C1570,868.7657756599435
C1474,173.75006160763382
C1633,176.65093560755537
C2113,583.0806880633688
C2175,941.0646779178919
C2303,1347.3367954992823
C2547,524.8965178267914
C2292,791.038846500206
C1496,817.8096482578035
C1289,375.04286068062925
C1849,682.4032314428594
C1003,287.85159854835626
C2268,493.73064534345315
C2551,576.3075934377174
C2688,88.05681611396125
C1030,14.40581222657977
C1327,138.57529395819472
C2451,598.8067317074117
C1749,586.5127855467567
C1349,251.88353304170033
C2043,263.13959995960346
C1229,279.30501381052255
C2363,487.59113012079945
C1414,498.8400834429243
C2174,537.1010632636065
C2091,92.90154842520226
C2335,469.15187839321175
C1841,38.95682936172915
C2404,111.99121927712542
C1683,215.00634972868943
C1038,265.33061461690914
C2456,254.27116958116625
C1266,527.176192069769
C2152,33.780050324210066
C1267,386.8068177272813
C2189,267.1098060104451
